county,year,gdays,maqi
Alachua,2011,109,252
Warren,2014,156,295
Edgefield,1992,126,281
Somerset,1980,209,218
San Juan,2004,72,333
Laramie,2012,108,241
Lewis,1996,61,154
Maui,1987,39,18
Sumner,1984,210,172
Rockland,2021,100,250
Fayette,2010,115,209
Shasta,1981,187,257
Wakulla,2017,92,304
Rock,2012,143,123
Gibson,2020,114,348
Summit,2008,75,321
Jackson,2018,74,307
Hardin,1991,161,263
Burleigh,2004,69,114
Juneau ,1994,72,346
Chatham,1995,119,240
Union,1991,203,92
Latah,2006,140,315
Potter,2005,72,335
Greenup,2021,54,178
Hancock,2016,122,342
Ponce,1996,91,50
Champaign,1999,201,253
Prince George's,2004,187,243
Cumberland,2009,122,238
Pitt,2021,80,217
Chesapeake City,2003,153,200
Collier,2003,122,312
Randall,2018,112,266
Montezuma,1990,55,96
Maury,2017,69,253
Jefferson,1990,203,173
Amador,2015,140,283
Knox,2014,87,194
Kootenai,2008,113,303
San Miguel,1998,68,354
Hamilton,1986,204,162
Roanoke City,1988,68,47
Jefferson,1991,200,200
Warren,1997,65,55
Douglas,2005,89,88
Arlington,2020,90,343
Carroll,2021,112,177
Alamance,2009,75,254
Denver,1993,150,128
Summit,1999,179,79
Duplin,1996,126,307
Warren,1982,195,235
Weston,2012,44,323
Wood,2012,174,145
Riverside,2000,222,51
Butte,2019,71,348
Stearns,2012,105,292
Bayamon,2005,103,351
Liberty,2003,140,327
Lowndes,1987,136,199
Monroe,1994,177,244
Door,2015,129,175
San Joaquin,2015,164,138
Winchester City,1990,61,59
Shasta,2009,122,275
Mayagnez,2004,61,94
Cumberland,1991,172,252
Hanover,2013,140,172
McClain,1999,182,282
Hardin,2001,161,143
Anne Arundel,1993,213,186
Northampton,1984,260,148
New Castle,2017,147,244
McHenry,2000,136,285
Berkeley,1985,136,289
Butler,2012,179,205
Napa,1981,90,325
Alexander,2008,147,132
Hancock,2010,146,216
Clinton,1987,200,187
Adams,1999,136,164
Adjuntas,2018,32,27
Burke,1993,159,259
Pasquotank,1999,116,65
MOBILE MONITORS,2000,129,119
Lake,1998,57,341
Chelan,2006,104,266
Boone,2007,136,154
Champaign,2012,136,281
Oswego,2003,204,155
Cumberland,1993,187,283
Lycoming,1992,133,340
Dickson,1995,179,214
Morgan,2018,80,337
Stoddard,2001,155,68
Klamath,2004,159,276
Davis,1992,197,163
McKenzie,1995,108,344
Brewster,2015,87,304
Madera,2002,205,210
Camden,1992,222,229
Scotts Bluff,2017,142,95
Bucks,1982,217,185
Becker,2021,97,128
Chesterfield,1981,208,77
Fairfield,1983,294,84
Parker,2012,166,287
LaPorte,2008,93,289
Anchorage ,1992,461,175
Granville,1985,166,100
Blount,1993,187,120
Summit,1993,88,49
Cass,2014,115,120
Windham,1990,48,15
Jefferson,1992,200,146
Monroe,2005,136,252
Pike,1990,209,198
Giles,2017,200,216
McHenry,2008,100,261
Pasco,1999,177,268
Valley,2004,97,232
Boulder,2021,159,127
Whatcom,2004,97,343
Bronx,2015,136,217
Bristol City,2003,147,54
Douglas,1999,210,106
Lemhi,2021,118,136
Guilford,2014,100,254
Bell,2016,100,331
Pasco,2002,126,299
Cowlitz,2017,155,326
Hamilton,2021,115,227
Brookings,1995,56,59
Washington,1995,53,45
Butler,1981,200,120
Comanche,1995,159,283
Anne Arundel,1999,220,187
Sequoyah,2020,141,337
Scioto,1996,81,357
Duval,1995,154,270
Coffee,2019,66,107
Knox,1988,169,70
Virginia Beach City,1982,187,246
Caldwell,2012,129,182
Delaware,1992,179,222
Hamilton,2009,115,129
Grant,2011,126,309
Cascade,2011,82,287
Benton,2016,122,325
Porter,2002,215,189
Richmond,2011,126,190
Wabash,2007,147,273
St. Mary,2005,136,270
Murray,2004,133,190
Brevard,1989,143,296
Morgan,1992,133,226
Franklin,1997,197,101
Love,2009,115,194
Charlottesville City,2007,49,60
Fayette,2005,179,142
Seneca,1999,108,124
Berkeley,2014,87,199
Brown,2018,105,307
Floyd,1983,200,137
Palm Beach,1992,107,329
Sweet Grass,2005,34,90
Henderson,2018,120,239
Saint Charles,2019,151,319
Carroll,1990,206,124
Morgan,2011,131,272
Union,2018,95,254
Burleigh,1990,76,57
Pierce,1995,129,273
Yuma,1986,161,115
Rock,2001,161,143
Okanogan,1987,69,44
Seminole,1995,151,307
Maury,1999,122,37
Sedgwick,2007,109,309
Greene,1994,200,171
Pulaski,1999,182,100
Tolland,1996,187,309
Rowan,2003,212,105
Oneida,1987,200,271
Pinal,1998,200,235
Kaufman,2015,93,305
Cook,2007,203,38
Bradley,1995,97,318
Oneida,2021,65,173
Madison,2015,108,172
Loudoun,2019,112,298
Niagara,1987,218,138
Florence,2009,80,167
Douglas,1998,101,302
Bristol,1991,216,157
Tazewell,1997,200,254
Garland,1999,75,11
Hood,2009,159,296
Douglas,1986,151,289
Litchfield,2007,219,276
Warren,1991,69,347
Santa Cruz,1995,100,336
LaPorte,2018,161,305
DuPage,1995,187,311
Ocean,1982,128,308
Monongalia,2019,74,337
Roanoke,1991,154,280
Carter,1999,190,96
Dawson,1998,69,53
Carteret,2016,93,308
Tuscola,2006,147,321
Pike,1986,200,161
Winnebago,1990,147,150
Lenoir,2001,156,155
Klickitat,2017,152,108
Henrico,1980,213,242
Mercer,2016,143,264
Uintah,1983,67,166
Worcester,1999,190,246
Kings,2007,125,201
Sedgwick,2012,156,222
Saint Clair,1981,200,105
Marathon,1987,200,151
Lowndes,2013,118,286
Sumter,2006,119,194
Mahoning,2006,136,251
East Baton Rouge,1992,203,212
Cuyahoga,2005,182,145
Medina,1987,200,143
Niagara,2018,101,294
Harford,1992,206,269
Monroe,2003,182,264
Becker,2013,77,306
Juneau ,1986,143,258
Adams,2006,132,204
Mono,1997,126,276
Livingston,2002,177,255
Escambia,2011,129,226
Madison,2003,54,45
Pittsburg,2012,147,186
Marshall,1999,200,121
Spalding,2006,40,59
Barnwell,2003,126,310
Aleutians East ,2005,38,121
Stevens,2000,155,99
Hardin,1997,112,197
Thomas,2009,61,114
Clay,1996,190,271
Clallam,2017,178,293
Palm Beach,1993,161,277
Clay,2017,129,282
McClain,2002,164,291
Powell,2020,11,25
Sioux,2009,74,90
Highlands,2020,74,345
Sumner,2012,179,143
Lander,1985,91,57
Escambia,1990,200,185
CHIHUAHUA STATE,1996,275,163
Newport News City,1980,65,227
Clay,1981,201,156
Madison,1983,208,119
Warren,1980,216,263
Guernsey,2021,59,268
Meade,2013,87,320
Shelby,1999,212,103
Yalobusha,2006,122,287
Nevada,2013,140,207
Clark,1980,200,269
Stoddard,2006,81,90
Yukon-Koyukuk ,2009,170,91
Grant,2005,119,175
Dona Ana,2015,157,174
Greene,1990,59,108
Dukes,2013,129,290
St. Louis City,2019,129,215
Franklin,2020,94,362
Bannock,1999,184,206
Swain,2006,94,178
Pinal,1995,170,199
Warren,1987,146,311
Ellis,1998,216,187
Kent,1987,208,223
Rhea,1982,168,335
DeKalb,1982,200,271
Summit,1984,182,64
St. Charles,1998,179,291
Sauk,1998,154,298
Pike,1993,172,242
Columbia,2008,69,342
Ottawa,2008,147,222
Hampton City,1980,201,162
Ashley,1999,92,5
Henderson,2008,34,53
Clinton,2002,207,103
Claiborne,2017,87,324
Frederick,2007,159,122
Billings,2015,153,322
McLennan,2017,112,172
Bell,2004,115,195
Washington,1994,200,110
Lawrence,1991,228,231
Caroline,2008,161,159
Montezuma,1991,53,94
Stewart,1989,199,267
Bolivar,2011,122,212
Stanislaus,1983,203,224
Adams,2013,97,282
Aiken,2012,93,215
Carter,1992,63,53
Hancock,1983,213,254
Cache,1998,119,265
Butte,1989,154,215
Ashtabula,2006,185,292
Carolina,1991,80,55
Colleton,2010,108,311
Seminole,1982,126,120
Tooele,2016,166,279
Tazewell,1996,56,58
Rowan,2007,200,132
DuPage,2020,154,279
Dutchess,2013,100,337
Boone,1990,182,133
Amador,1997,197,270
Shasta,1980,179,208
Juneau ,2015,91,296
Maricopa,2010,165,100
Greene,2018,122,262
Macon,2010,99,209
Lawrence,1993,159,170
Huron,2014,115,152
Chautauqua,2019,105,337
Cuyahoga,1983,221,40
Camden,2001,140,139
Macoupin,2018,115,331
Adams,2018,87,228
Montgomery,2002,204,131
Williamson,2021,67,108
Madison,2001,135,60
Polk,2000,85,60
Coos,2014,97,315
Brazoria,1998,242,294
San Mateo,1981,154,346
Oakland,2021,101,233
Emmet,2001,81,90
Rensselaer,1997,43,326
Ashtabula,1989,200,233
Carroll,2009,112,183
Chaves,2006,64,122
Monterey,2007,100,350
Washington,2010,113,313
Anoka,1996,100,347
Vermillion,1990,78,139
Santa Fe,2020,101,297
Seminole,2011,136,316
Elmore,2005,101,194
Oconto,1981,120,110
Merced,2015,159,142
Scott,2021,90,141
Delta,2017,52,114
Linn,2003,147,235
Winnebago,2009,102,315
Medina,2015,97,208
Knox,2019,80,342
Mobile,2012,126,229
Jefferson,1987,377,52
Gloucester,2008,190,264
St John,2014,77,102
Douglas,2011,61,337
Lawrence,2018,97,329
Pitt,2021,80,217
Ouachita,1998,136,284
Weston,2018,101,316
Jefferson,2000,210,115
Volusia,2010,101,294
Jasper,2019,108,324
Cleveland,1988,140,135
Chatham,1994,84,302
Linn,1984,200,131
Kent,1994,215,297
Cass,2005,164,151
Wabash,2017,59,362
Coos,2004,159,154
Washington,1994,41,49
Maui,2010,75,335
Amador,2008,206,220
Klickitat,2015,108,111
Barnwell,2006,126,272
Jefferson,1988,225,186
Montgomery,2009,55,346
Grant,2006,115,78
Windham,2008,115,335
Custer,2003,51,109
Niagara,1989,200,147
Harrison,2014,72,95
Adams,1992,187,275
Caddo,2000,71,28
Gregg,1993,207,233
Litchfield,1999,195,127
Wayne,2012,80,277
Suffolk City,2010,161,129
Goshen,2014,66,136
York,2014,108,232
Gallia,2006,133,290
Chattooga,2006,143,194
Cameron,2000,101,334
Warren,2004,200,253
Androscoggin,1983,134,302
Spartanburg,2001,172,157
Harford,2013,133,228
Thurston,2016,90,328
York,1985,195,199
Daviess,2016,156,235
Plumas,2011,153,75
Fergus,2010,53,120
Fairfax City,1987,212,183
Solano,2021,126,207
Victoria,1996,140,302
Indian River,2011,87,316
Marathon,2012,101,188
Jackson,2018,60,113
Westchester,1987,212,297
Elmore,1995,169,247
Lane,2013,161,237
Tucker,2000,159,262
Charles,2017,100,189
Providence,2001,203,185
Warren,1992,50,61
Litchfield,2008,161,309
McDowell,2000,166,43
Park,1994,109,56
Barnwell,2004,129,292
Saint Louis,1989,220,53
Suffolk,1991,225,218
New London,2001,185,144
Alexander,2020,54,297
Hawaii,2000,200,297
Sherburne,1988,95,353
Door,2012,187,136
DeKalb,1998,159,253
Saint Clair,2015,117,287
Manatee,2011,122,323
Kings,2001,202,157
Bullitt,2009,100,218
Lawrence,2021,87,198
Hamilton,2009,105,196
Wasco,2016,77,322
Schuylkill,1993,132,323
Kent,2012,159,237
Cameron,1992,66,55
Latah,2015,206,240
Phillips,1995,52,53
Mendocino,2018,314,289
Union,1994,134,316
Uintah,2011,236,196
Black Hawk,2010,113,224
Franklin,1980,224,99
Ocean,1991,67,354
Knox,1997,206,234
Graham,2011,122,106
Riley,2004,100,323
Clermont,1985,221,170
Grenada,2015,65,110
Washington,2007,155,111
Cochise,1995,112,217
Ozaukee,2002,201,158
Kennebec,2005,143,190
Lycoming,2012,108,302
Scott,2005,156,174
Outagamie,1998,161,141
Santa Clara,2006,200,208
Prince William,2004,179,311
Henrico,2002,221,113
Summit,2012,64,119
Sumner,2010,156,135
Weber,2004,161,206
Sonoma,2005,96,344
Monterey,2018,155,319
Blair,1998,187,240
Skagit,2018,180,341
Perry,2013,77,309
Potter,1995,34,53
Apache,2019,59,358
Trumbull,2009,108,197
Hidalgo,2020,155,270
Niagara,2007,159,235
DeKalb,1981,209,275
Emery,1980,69,355
Georgetown,2018,44,326
Nassau,1992,191,286
Albany,2008,129,190
Person,2005,150,126
Liberty,2000,150,253
St. Croix,1993,87,359
Dougherty,2009,120,157
Knox,1998,192,218
Rockwall,2014,105,314
Garden,2005,55,117
Lackawanna,2002,213,202
San Luis Obispo,2008,179,173
Deschutes,2016,61,322
Sussex,2007,147,137
Winnebago,2021,100,207
Noble,1999,204,241
Saratoga,1992,174,325
Stafford,2008,150,181
Fairfax,2019,105,260
Stark,1987,214,197
Baltimore,1998,197,245
Florence,2016,83,207
Lassen,1996,39,10
Rock Island,2010,77,341
Blount,1994,204,152
Tarrant,1986,221,226
New London,1983,291,106
Buchanan,1994,200,178
Baldwin,2018,97,245
Lee,2021,64,142
Jefferson,1992,33,16
Belmont,1982,112,68
San Bernardino,2004,242,64
Allegany,1992,105,341
Kent,1996,179,120
Buffalo,1991,78,46
Clark,2004,165,101
Boise,2008,76,20
Orange,2013,129,293
Mariposa,2007,192,115
Shawnee,1991,54,35
Osage,2000,106,342
Albemarle,2019,67,264
Grays Harbor,1992,200,202
Hennepin,2000,157,229
Kenai Peninsula ,2019,140,115
Cloud,1989,67,44
Hancock,2010,105,120
Tazewell,2019,36,346
Cambria,2001,177,195
Harney,2009,95,261
Carter,2013,69,51
Monterey,2003,136,333
Roosevelt,2008,65,115
Solano,2002,160,292
Columbiana,2019,26,350
Alamosa,2006,300,344
Ramsey,2012,102,278
DuPage,2010,110,212
Sumter,2017,83,330
St. Mary,1994,112,332
Glynn,2000,147,171
Hillsborough,2013,122,250
Giles,1997,20,11
Vernon,1998,150,162
Alexander,2015,90,173
Bernalillo,2011,293,104
Bronx,2021,154,214
Shoshone,2010,155,201
Grant,1993,200,272
Okaloosa,2010,147,310
Penobscot,1988,174,209
Orange,1995,78,171
Berkeley,1992,136,310
Lincoln,2014,97,179
Marquette,1998,17,5
Santa Cruz,2019,120,280
Cherry,2000,90,94
Franklin,1980,179,47
Tazewell,1996,56,58
Davie,1983,159,248
Stanislaus,2002,208,177
McCracken,2015,115,252
Andrew,2012,151,135
Houston,2013,87,251
Custer,2015,133,334
Coahoma,1992,41,59
Carbon,2018,90,291
Clark,1989,106,283
Harrison,2006,169,166
Toa Baja,1991,71,164
Arkansas,2014,91,91
Guilford,2008,159,173
Sullivan,2001,24,107
Wexford,2014,100,336
Marion,2001,77,90
Russell,1995,54,59
Kanawha,2014,100,296
Onslow,1992,58,59
Durham,2004,136,162
Columbiana,1990,200,133
Milwaukee,1997,222,233
Warren,1998,212,100
Camden,1986,242,135
Gaston,1998,43,133
Colbert,1990,192,272
Windham,2005,195,299
Johnson,1982,140,256
Arkansas,1995,66,52
Lake,2001,143,306
Park,1988,98,39
Rutland,2010,109,282
Dane,1984,154,207
San Bernardino,2011,233,44
Hendricks,2012,143,122
Ashtabula,2011,154,307
Saint Clair,2010,150,200
Klamath,2009,188,215
Winnebago,1985,174,253
Onslow,1992,58,59
Leavenworth,2009,90,332
Charles,2000,207,134
Manitowoc,1993,151,220
Larimer,2019,129,208
Lancaster,2009,128,203
Olmsted,2016,104,329
Duplin,2006,89,73
Barnstable,2019,93,348
Alachua,2000,151,262
La Salle,1998,104,331
Hood,2020,100,330
Butte,1988,166,235
Napa,1999,161,340
Kenai Peninsula ,2007,58,107
Darlington,1984,195,72
Kewaunee,2015,119,170
Franklin,2017,90,332
Jackson,2004,41,61
Kent,2007,166,176
Boyd,2013,119,303
Yavapai,2015,100,235
Powder River,2013,71,319
Saint Louis,2013,82,294
Madison,1983,108,9
Washoe,1988,200,188
Avery,1990,172,198
Fairbanks North Star ,2004,503,182
Lake,1994,115,179
Belknap,2007,156,181
Taney,1997,39,155
Orange,2002,169,95
Hillsborough,2004,179,108
Monmouth,2009,126,337
Niagara,1996,174,232
Genesee,1985,133,305
Nassau,2009,132,336
Wabash,2008,116,328
Bonner,1993,87,73
Lyon,2018,84,332
Jefferson,2019,51,364
Caswell,1997,182,77
Chester,1993,62,47
Umatilla,1999,146,139
Chesterfield,1995,192,152
Henrico,2013,100,296
Davidson,2002,140,132
Saint Clair,2010,150,200
Monterey,1995,122,339
Scotts Bluff,2018,71,108
Middlesex,2008,161,321
Athens,2013,65,49
Vermillion,1986,188,241
Ford,2019,54,301
Baltimore (City),1987,190,105
St John,2013,85,95
Hidalgo,2020,155,270
Albany,1986,187,128
Rock,1985,177,160
Cobb,2012,154,218
Tangipahoa,2006,89,64
Hancock,1995,172,157
Virginia Beach City,2001,112,62
Ravalli,2007,212,228
Luzerne,1997,200,293
Fremont,1995,56,288
Haywood,2001,161,148
Greenbrier,2012,140,160
Buffalo,1997,77,57
McHenry,2010,115,269
Gallatin,1986,67,26
Hamilton,2011,101,345
Mariposa,1996,202,209
Socorro,2002,59,107
Ohio,2007,138,130
Windham,1993,52,58
Kittitas,2004,48,141
Bayamon,1998,111,314
Hancock,1999,33,48
Effingham,2006,112,182
Worcester,2010,187,117
Nassau,2001,138,265
Teton,1990,76,332
Monterey,2019,144,330
McLennan,2002,127,100
Olmsted,1993,82,329
Cabarrus,1999,113,45
Buchanan,1990,135,260
Alpena,1995,63,47
Hudson,2006,169,187
Napa,1999,161,340
Maricopa,1982,220,94
Polk,2000,173,260
Benton,2019,85,332
Cass,1994,53,169
Madison,2012,67,96
Roosevelt,2002,57,74
Adams,2000,179,145
Keweenaw,2001,68,107
Russell,2021,142,189
Posey,2021,77,253
Bossier,1980,210,46
Orange,2001,164,270
Leon,1998,143,316
Vernon,1999,174,150
Monroe,2008,101,300
Sullivan,2010,200,166
Colleton,1980,101,127
Mitchell,2008,80,84
Porter,2003,161,233
Genesee,2014,105,247
Thomas,2018,76,109
Sevier,1999,202,143
Park,2007,69,95
Santa Clara,2013,152,206
Cook,1982,201,56
Rowan,2016,97,313
Greene,2004,147,171
Canadian,2017,105,307
Bannock,1983,200,124
Marathon,1993,200,283
Shoshone,2014,151,237
Westchester,2010,150,271
Marion,1993,177,87
Phillips,1995,52,53
Will,1984,136,235
Lorain,2019,72,313
Wallowa,2017,170,294
Sumter,1995,119,230
Citrus,2020,125,306
DeKalb,2001,164,209
Carroll,1997,147,166
Tuscola,1991,179,275
Lebanon,2014,121,193
Yavapai,1992,64,58
Marion,1997,90,308
Chaffee,2013,126,59
Scioto,2004,128,287
Mariposa,2000,187,199
Mercer,2018,115,279
Ramsey,1991,197,273
Sublette,1992,93,275
Washington,1981,154,102
Kandiyohi,2003,128,99
Leon,2019,119,275
Latah,1987,84,32
Camden,1980,239,140
Kern,2014,307,32
Pima,2003,154,164
Rockwall,2012,204,289
Colusa,2001,156,234
Snohomish,2000,129,243
Pickens,1983,206,84
Edmonson,2019,77,290
Bernalillo,1985,218,146
Hampshire,1982,226,170
Tuscola,1995,169,213
Hyde,2009,69,107
Dukes,2008,190,174
Forsyth,1998,213,189
Orange,2014,97,323
Outagamie,2015,98,297
Jo Daviess,2007,143,300
Oklahoma,1997,169,241
Fergus,2007,109,104
McCone,2005,22,61
Caswell,2021,80,179
Jefferson,1998,208,213
Jackson,2005,150,91
Allegany,1989,119,289
Shoshone,1998,112,233
Douglas,2000,131,185
Delaware,1996,179,196
Covington City,1996,54,53
Montgomery,2012,112,245
Kent,2005,172,186
Edmonson,1992,122,259
Mercer,2002,201,169
Sainte Genevieve,2010,129,227
Laramie,2003,64,113
New Hanover,2009,120,232
Covington City,2019,121,357
Washington,1992,38,42
Bartow,2002,104,230
St. John the Baptist,1993,179,269
Douglas,2021,61,86
Cumberland,2000,148,135
Ouachita,2017,81,340
Boulder,2019,119,227
Hardin,1993,212,146
Knox,1986,182,169
Scott,2003,140,172
Jefferson,2018,154,222
Sauk,2004,113,296
Durham,1981,158,195
New Haven,2011,195,237
Wyandot,2007,107,42
Georgetown,2016,62,309
CHIHUAHUA STATE,1999,1733,109
Lake,2002,163,283
Luna,1989,46,23
Northampton,2016,217,208
Harris,2017,177,207
Fairfield,2000,57,58
Shasta,2016,140,298
Gloucester,2011,192,259
Edgecombe,2004,122,266
Delta,2017,52,114
Lorain,2002,210,218
St. Joseph,2001,172,237
Burlington,1983,225,165
Humboldt,1999,104,54
Washington,2006,150,134
Chippewa,2007,136,59
Lemhi,2019,133,269
Comanche,2014,105,257
Delaware,2015,150,195
Del Norte,2006,77,120
Liberty,2009,67,323
Montgomery,2004,150,271
Ocean,1989,66,352
Williams,1982,94,278
Arlington,1993,203,212
St John,2005,96,100
Hamilton,2019,105,269
Dougherty,2007,181,59
Oliver,2021,166,168
Big Horn,2020,126,349
Grafton,2007,156,336
Roosevelt,2006,75,112
Chesterfield,1983,223,43
Dunn,2021,175,185
Hamilton,2017,87,347
Saint Louis,2002,98,334
Barnstable,1992,205,157
Livingston,2001,151,233
Benewah,2005,126,322
Maury,2017,69,253
Hampshire,1981,215,114
Pend Oreille,2007,35,360
Pike,1999,206,216
Vernon,2005,166,153
Johnson,1995,61,45
Trumbull,1993,203,189
Carroll,2007,150,110
Charlevoix,1980,107,350
Jackson,1986,156,49
Fajardo,2002,59,345
Allen,2014,108,305
Yakima,1996,150,305
Beauregard,1993,177,347
Douglas,1996,156,131
Erie,2012,185,216
Denver,2007,154,167
Woodward,1997,53,30
Culpeper,2001,39,60
Woodbury,1992,70,40
Walla Walla,1987,164,91
St. James,1984,182,88
Missoula,2008,104,299
Sacramento,2021,169,177
Dakota,2005,152,246
El Dorado,1993,203,170
Summit,1996,185,196
Harris,2019,202,179
Cabell,1990,174,223
Indian River,2009,87,288
Cache,2003,126,224
Darlington,2009,87,267
San Luis Obispo,2011,133,138
Atlantic,2004,133,280
Benzie,2019,93,232
Mobile,2021,81,162
Erie,2016,136,281
Comanche,2018,122,275
Ulster,1998,154,287
Sandoval,1991,126,227
Mahoning,2014,114,249
Dakota,2008,133,269
Pennington,2003,122,225
Glacier,2010,74,137
Iberville,1992,185,243
Lewis,1999,67,52
Morrison,1997,40,36
Cass,1997,78,224
Hamblen,2002,114,62
Daviess,1980,209,191
Clearwater,1988,63,14
San Patricio,1984,169,105
Saratoga,1998,187,280
San Luis Obispo,1993,150,296
Stafford,2019,93,244
Sussex,1995,197,239
Plymouth,2021,112,199
Cabell,1999,187,196
Ford,2019,54,301
Daniels,1980,170,216
Potter,2019,119,322
Trigg,1993,64,123
Duplin,2004,99,61
Middlesex,1993,219,260
Cleveland,1999,156,284
El Dorado,2021,80,112
Macomb,2011,159,166
Ravalli,2001,117,319
Wexford,2011,147,298
Saint Louis,2013,82,294
Rensselaer,1990,44,30
Henrico,1983,208,228
Chase,2013,68,108
Lowndes,2009,98,165
Genesee,1995,159,306
Maricopa,2001,185,30
Georgetown,2009,63,351
Ellis,2013,56,109
Trumbull,2004,159,174
Dorchester,2015,105,274
Yuma,1987,172,115
DeKalb,1988,64,30
Sumner,2006,182,138
Augusta,1983,50,162
Guayanilla,1987,121,57
Solano,1997,143,324
Blount,1985,200,154
Butte,2021,160,103
Chesterfield,2021,74,198
Lancaster,2021,155,139
Buncombe,1988,195,59
Roanoke City,2006,103,291
Camden,1983,227,115
Tyler,1992,151,124
Bradley,1994,182,227
Lebanon,2016,122,189
Coconino,2008,129,246
Snohomish,1990,127,158
Avery,2005,143,238
Adjuntas,2013,54,91
Mason,1989,79,23
Webb,2018,107,237
Albany,1989,70,45
Waukesha,1983,209,279
Ponce,1994,68,58
Arlington,1988,245,237
Clermont,1988,258,218
Thurston,2004,86,89
Union,2020,141,324
Wayne,2005,110,60
Saint Louis,1981,150,215
Salt Lake,2016,156,189
Dorchester,2002,203,243
Franklin,1991,210,225
Wilkinson,2015,82,90
Hawkins,1982,200,82
Henry,1982,200,122
Carson City,2006,115,291
Warren,2004,41,60
Saint Charles,1995,221,207
Saginaw,2003,95,75
